title,property_type,location,price,price_category,bedroom,bathroom,price_per_bedroom,added_date,updated_date,month_added,state
2 Plots Of Land Facing Expressway,land,"lakowe, ibeju lekki, lagos",130000000.0,high,,,,,2026-01-24,NaT,Lagos
Luxury Apartments Building Off Plan In Ikeja,flat/apartment,"maryland, lagos",200000000.0,high,2.0,2.0,100000000.0,,2026-01-24,NaT,Lagos
Newly Built 5 Bedroom Semi Detached Duplex With Bq,semi detached duplex,"maryland, lagos",470000000.0,high,5.0,6.0,94000000.0,,2026-01-24,NaT,Lagos
Well Maintained 4 Bedrooms Terrace Duplex With Bq* Location: *millenni,house,"millennium estate gbagada* title: *governor consent, gbagada, lagos",210000000.0,high,4.0,,52500000.0,,2026-01-24,NaT,Lagos
Lovely 4 Bedroom Self Compound Terrace Duplex With A Room Bq.,house,"gbagada, lagos",300000000.0,high,4.0,5.0,75000000.0,,2026-01-24,NaT,Lagos
4br Bungalow On A 1850 Square Meter Plot,land,"oduduwa street, ikeja gra, ikeja, lagos",2650000000.0,high,4.0,,662500000.0,,2026-01-22,NaT,Lagos
4 Bedroom Semi Detached Duplex With A Bq,semi detached duplex,"orchid road, lekki, lagos",9000000.0,low,4.0,4.0,2250000.0,,2026-01-24,NaT,Lagos
3 Bedroom Terrace Duplex,house,"idera, lekki expressway, lekki, lagos",85000000.0,high,3.0,3.0,28333333.33,,2026-01-24,NaT,Lagos
A Serviced Plot Of Land,land,"adiva beachwood estate, lekki expressway, lekki, lagos",50000000.0,mid,,,,,2026-01-24,NaT,Lagos
"5 Bedroom Detached Duplex With Cinema, Pool, Bq & Rooftop Terrace",detached duplex,"lekki phase 1, lekki, lagos",1200000000.0,high,5.0,5.0,240000000.0,,2026-01-23,NaT,Lagos
Fully Detached Duplex,fully detached,"off admiralty way, lekki phase 1, lekki, lagos",800000000.0,high,4.0,,200000000.0,2026-05-01,2026-01-24,2026-05,Lagos
Luxury One Bedroom Apartment,flat/apartment,"bajulaiye road, akoka, yaba, lagos",14300000.0,mid,1.0,1.0,14300000.0,,2026-01-24,NaT,Lagos
"Relatively New, Fully Serviced 4 Bedroom In A Serene Environment",flat/apartment,"parkview, ikoyi, lagos",1095000000.0,high,4.0,4.0,273750000.0,2026-01-01,2026-01-18,2026-01,Lagos
Maintained Building Which Consists Of 6 Units Of 3 Bedroom Flat,flat/apartment,"ogba, ikeja, lagos",340000000.0,high,,,,,2026-01-24,NaT,Lagos
A Solid 4 Flat Of 3 Bedroom Each On Full Plot Of Land,land,"off college road, ogba, ikeja, lagos",200000000.0,high,,,,2026-07-01,2026-01-24,2026-07,Lagos
4 Nos Of 3 Bedroom Flat On 689sqm,land,"alausa, ikeja, lagos",550000000.0,high,3.0,,183333333.3,2026-07-01,2026-01-24,2026-07,Lagos
A Block Of 4 Units Of 3 Bedroom Flat,flat/apartment,"obanikoro, shomolu, lagos",330000000.0,high,,,,,2026-01-18,NaT,Lagos
3 Bedroom Apartment,flat/apartment,"surulere, lagos",120000000.0,high,3.0,3.0,40000000.0,,2026-01-23,NaT,Lagos
4 Bedrooms Fully Detached Duplex And Bq With C Of O,fully detached,"ayayi apata estate, landview residence, sangotedo, ajah, lagos",220000000.0,high,4.0,5.0,55000000.0,,2026-01-24,NaT,Lagos
3 Bedroom Terrace Duplex,house,"behind lagos business school, sangotedo, ajah, lagos",112200000.0,high,3.0,3.0,37400000.0,,2026-01-24,NaT,Lagos
4 Units Of Miniflat At Decking Level,flat/apartment,"baba adisa ibeji lekki lagos, ibeju lekki, lagos",20000000.0,mid,4.0,,5000000.0,,2026-01-24,NaT,Lagos
Luxury 3 Bedroom Bungalow,bungalow,"idea scheme, ibeju lekki, lagos",75000000.0,high,3.0,3.0,25000000.0,,2026-01-24,NaT,Lagos
